time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM
2197.0,2332650400000.0,2516059700000.0,2765460000000.0,2544858800000.0,1777553400000.0,1568829700000.0
2198.0,2328503500000.0,2499408800000.0,2762051200000.0,2538365800000.0,1774823700000.0,1560840500000.0
2199.0,2314758500000.0,2484028300000.0,2752567800000.0,2531977600000.0,1776085500000.0,1550107100000.0
2200.0,2308147000000.0,2480304800000.0,2752447500000.0,2532403000000.0,1767317200000.0,1540651200000.0
2201.0,2315023500000.0,2478469500000.0,2741467300000.0,2525323900000.0,1756445400000.0,1537858100000.0
2202.0,2310451500000.0,2476197000000.0,2755444000000.0,2526209600000.0,1755975600000.0,1542187900000.0
2203.0,2298032400000.0,2472948800000.0,2757625400000.0,2510280500000.0,1757015700000.0,1541551300000.0
2204.0,2285783500000.0,2472042800000.0,2749792500000.0,2508775200000.0,1756233100000.0,1533606600000.0
2205.0,2284593600000.0,2463314000000.0,2756463300000.0,2516272500000.0,1756443000000.0,1531611000000.0
2206.0,2279909000000.0,2467167500000.0,2736371300000.0,2515511800000.0,1755243500000.0,1534305500000.0
2207.0,2285332300000.0,2465245700000.0,2730383600000.0,2513690000000.0,1761013500000.0,1527035500000.0
2208.0,2288856900000.0,2446444500000.0,2727508400000.0,2520283000000.0,1758343200000.0,1529701000000.0
2209.0,2292409000000.0,2445617000000.0,2716041700000.0,2525956000000.0,1763605300000.0,1525915300000.0
2210.0,2306209700000.0,2440153300000.0,2713560000000.0,2519493000000.0,1765331700000.0,1516876900000.0
2211.0,2305905400000.0,2426790700000.0,2709345300000.0,2511309400000.0,1762033100000.0,1500740800000.0
2212.0,2304227000000.0,2416919000000.0,2693362000000.0,2504140800000.0,1760460000000.0,1493433700000.0
2213.0,2307901600000.0,2414706200000.0,2684805200000.0,2494682600000.0,1765114500000.0,1488116100000.0
2214.0,2318340500000.0,2415367800000.0,2672275500000.0,2491692600000.0,1767016800000.0,1485959500000.0
2215.0,2323949800000.0,2415215500000.0,2666390000000.0,2497665800000.0,1759985100000.0,1471736700000.0
2216.0,2312984600000.0,2405851500000.0,2662845000000.0,2503166000000.0,1763275000000.0,1471068100000.0
2217.0,2318716600000.0,2397780000000.0,2664086000000.0,2501856500000.0,1764734500000.0,1473237600000.0
2218.0,2324048000000.0,2392761000000.0,2665275000000.0,2491512800000.0,1760876700000.0,1475215600000.0
2219.0,2328362200000.0,2394211700000.0,2672820200000.0,2504653300000.0,1763908400000.0,1475019700000.0
2220.0,2338947600000.0,2389873500000.0,2663006300000.0,2511584600000.0,1767040200000.0,1469807700000.0
2221.0,2346133700000.0,2391540500000.0,2671348300000.0,2521038300000.0,1763474300000.0,1465625000000.0
2222.0,2344328000000.0,2394746800000.0,2669991400000.0,2516110800000.0,1753372300000.0,1462672700000.0
2223.0,2334335400000.0,2388462100000.0,2675005200000.0,2519316800000.0,1747717700000.0,1468920600000.0
2224.0,2337117300000.0,2384633800000.0,2671147500000.0,2519596300000.0,1748037000000.0,1456230900000.0
2225.0,2340636000000.0,2382216300000.0,2671908500000.0,2517327000000.0,1747153700000.0,1455224900000.0
2226.0,2336674500000.0,2377494800000.0,2669689400000.0,2517829200000.0,1752762000000.0,1446430100000.0
2227.0,2332713300000.0,2376805600000.0,2668371400000.0,2520871300000.0,1750319100000.0,1441680300000.0
2228.0,2330042000000.0,2374998400000.0,2655326800000.0,2515967100000.0,1742453100000.0,1440545900000.0
2229.0,2327762700000.0,2370130000000.0,2665092700000.0,2526469400000.0,1740300200000.0,1432133600000.0
2230.0,2322264800000.0,2370368700000.0,2649504600000.0,2532219800000.0,1741810800000.0,1430761200000.0
2231.0,2326248800000.0,2379250700000.0,2629362300000.0,2546359300000.0,1746743500000.0,1422203600000.0
2232.0,2314160000000.0,2383299700000.0,2636796100000.0,2538487400000.0,1745925200000.0,1413289300000.0
2233.0,2308254500000.0,2391729200000.0,2642389800000.0,2536284400000.0,1742842600000.0,1412233600000.0
2234.0,2301438700000.0,2391603700000.0,2642262000000.0,2528528800000.0,1740497900000.0,1413033100000.0
2235.0,2302298000000.0,2391429000000.0,2634674600000.0,2514848000000.0,1743794900000.0,1414050000000.0
2236.0,2304055700000.0,2390974500000.0,2634224800000.0,2510296700000.0,1747703800000.0,1410831200000.0
2237.0,2304665200000.0,2382644600000.0,2626330800000.0,2509848400000.0,1752842400000.0,1402794800000.0
2238.0,2302444000000.0,2374266300000.0,2606488400000.0,2491524000000.0,1756097800000.0,1409718600000.0
2239.0,2307604300000.0,2361428800000.0,2608613000000.0,2486316000000.0,1750677500000.0,1405375100000.0
2240.0,2321454000000.0,2358461600000.0,2603567500000.0,2492212400000.0,1744828900000.0,1398800000000.0
2241.0,2328957800000.0,2355229600000.0,2598446800000.0,2485776800000.0,1737566200000.0,1397617300000.0
2242.0,2334497000000.0,2354258400000.0,2603012000000.0,2489835000000.0,1728867100000.0,1395890500000.0
2243.0,2335914300000.0,2352595900000.0,2599178700000.0,2496512400000.0,1728575600000.0,1395705000000.0
2244.0,2346693400000.0,2350648400000.0,2604184400000.0,2498495500000.0,1729582500000.0,1380178200000.0
2245.0,2348118000000.0,2349915000000.0,2597852500000.0,2491252700000.0,1730553200000.0,1380999200000.0
2246.0,2342255900000.0,2347426600000.0,2604135600000.0,2487765400000.0,1730665400000.0,1377275500000.0
2247.0,2339732000000.0,2340418700000.0,2603220500000.0,2491176000000.0,1729681700000.0,1379088000000.0
2248.0,2348425000000.0,2339336600000.0,2600071600000.0,2488217400000.0,1728957100000.0,1383663500000.0
2249.0,2349533000000.0,2326513600000.0,2611858600000.0,2489028700000.0,1732762700000.0,1374826100000.0
2250.0,2355711000000.0,2321515500000.0,2621444500000.0,2495740600000.0,1732693900000.0,1368368200000.0
2251.0,2355012600000.0,2315469000000.0,2612874700000.0,2496353000000.0,1736348900000.0,1368769300000.0
2252.0,2343910500000.0,2298764000000.0,2620307800000.0,2495610000000.0,1731321700000.0,1370164600000.0
2253.0,2342327000000.0,2286006800000.0,2622115800000.0,2502140600000.0,1735865900000.0,1368493500000.0
2254.0,2344026000000.0,2276211300000.0,2609542900000.0,2493752000000.0,1730067700000.0,1361321800000.0
